metro_time,Залог,Комиссия,Предоплата,Мебель в комнатах,Мебель на кухне,square,count_room,built_house,elevators,floor,balcony,Музеи,Салоны красоты косметических услуг,Рестораны / кафе быстрого питания,Продовольственные магазины,"Городские парки развлечений, аттракционов",Аптеки по продаже лекарств,"Маммологические центры, больницы, клиники, поликлиники","Фитнес-клубы, центры, залы",dist_kreml,district_Академический,district_Алексеевский,district_Алтуфьевский,district_Арбат,district_Аэропорт,district_Бабушкинский,district_Басманный,district_Беговой,district_Бескудниковский,district_Бибирево,district_Богородское,district_Братеево,district_Бутырский,district_Вешняки,district_Внуково,district_Внуковское,district_Войковский,district_Воскресенское,district_Восточный,district_Выхино-Жулебино,district_Гагаринский,district_Головинский,district_Гольяново,district_Даниловский,district_Десеновское,district_Дмитровский,district_Донской,district_Дорогомилово,district_Замоскворечье,district_Зюзино,district_Зябликово,district_Ивановское,district_Измайлово,district_Капотня,district_Киевский,district_Кокошкино,district_Коньково,district_Коптево,district_Косино-Ухтомский,district_Котловка,district_Красносельский,district_Крылатское,district_Крюково,district_Кузьминки,district_Кунцево,district_Куркино,district_Левобережный,district_Лефортово,district_Лианозово,district_Ломоносовский,district_Лосиноостровский,district_Люблино,district_Марушкинское,district_Марфино,district_Марьино,district_Матушкино,district_Метрогородок,district_Мещанский,district_Митино,district_Можайский,district_Молжаниновский,district_Москворечье-Сабурово,district_Московский,district_Нагатино-Садовники,district_Нагорный,district_Некрасовка,district_Нижегородский,district_Новогиреево,district_Новокосино,district_Новофедоровское,district_Обручевский,district_Останкинский,district_Отрадное,district_Очаково-Матвеевское,district_Первомайское,district_Перово,district_Печатники,district_Покровское-Стрешнево,district_Преображенское,district_Пресненский,district_Раменки,district_Ростокино,district_Рязановское,district_Рязанский,district_Савеловский,district_Савёлки,district_Свиблово,district_Северный,district_Силино,district_Сокол,district_Сокольники,district_Солнцево,district_Сосенское,district_Строгино,district_Таганский,district_Тверской,district_Текстильщики,district_Тимирязевский,district_Троицк,district_Тропарево-Никулино,district_Фили-Давыдково,district_Филимонковское,district_Хамовники,district_Ховрино,district_Хорошево-Мневники,district_Хорошевский,district_Царицыно,district_Черемушки,district_Щаповское,district_Щербинка,district_Щукино,district_Южнопортовый,district_Якиманка,district_Ярославский,district_Ясенево,type_of_housing_Апартаменты,type_of_housing_Квартира,type_of_housing_Студия,repair_flat_Без ремонта,repair_flat_Дизайнерский,repair_flat_Евроремонт,repair_flat_Косметический,view_outside_Во двор,view_outside_На улицу,view_outside_На улицу и двор,type_house_Блочный,type_house_Деревянный,type_house_Кирпичный,type_house_Монолитно кирпичный,type_house_Монолитный,type_house_Панельный,type_house_Сталинский,type_house_Старый фонд,parking_Многоуровневая,parking_Наземная,parking_Открытая,parking_Подземная,circle_3 Транспортное,circle_Бульварное,circle_В пределах МКАД,circle_За МКАД,circle_Садовое
8.0,1,60,1,1.0,1.0,38,1,1966.0,2,5,1,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,8.13563579751157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
12.33,1,50,1,1.0,1.0,38,1,1982.0,1,8,1,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,8.689048936504863,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
10.33,1,50,1,0.0,0.0,35,1,2000,1,5,0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,7.511340732937522,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
11.67,1,80,1,1.0,1.0,37,1,1981.0,1,13,1,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,8.768015515499684,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11.33,1,50,1,1.0,1.0,38,1,1982.0,1,1,0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,8.314300919451103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
8.0,1,50,1,1.0,1.0,36,1,1966.0,2,7,1,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,8.13563579751157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
9.67,1,30,1,1.0,1.0,40,1,1971.0,2,2,1,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,6.964998599754171,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11.67,1,50,1,1.0,1.0,40,1,1982.0,2,14,1,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,8.654973012892148,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
12.33,1,50,1,1.0,1.0,36,1,1967.0,2,3,1,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,7.377983419413141,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
11.33,1,50,1,1.0,1.0,32,1,1951.0,1,2,0,2.0,60.0,43.0,43.0,3.0,61.0,3.0,11.0,7.069271927734454,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
